,Madiun,Magelang,malang,pekalongan,purworejo,probolinggo,rembang,semarang,serang ,sukabumi,surakarta ,solo,tasikmalaya,tegal ,cilacap,wonosobo
kediri,81,233,103,376,306,177,206,295,869,758,124,175,562,460,437,326
madiun ,0,221,184,315,245,222,145,214,788,677,169,114,501,379,375,265
magelang,221,0,406,138,44,443,184,75,611,500,370,108,297,202,174,64
malang,184,406,0,499,429,91,275,397,671,860,89,298,682,562,560,449
pekalongan,315,138,499,0,170,508,210,101,473,362,409,201,257,64,195,34
purworejo,245,44,429,170,0,446,228,119,593,458,393,131,256,223,131,54
probolinggo,222,443,91,508,446,0,300,407,981,870,99,316,702,572,598,487
rembang,145,184,275,210,228,300,0,109,683,572,201,147,467,274,355,228
semarang,214,75,397,101,119,407,109,0,574,463,308,100,358,165,246,119
serang,788,611,671,473,593,981,683,574,0,203,882,674,364,409,517,570
sukabumi,677,500,860,362,458,870,572,463,203,0,771,563,202,298,355,435
surakarta,169,370,89,409,393,99,201,308,882,771,0,262,649,473,523,434
solo,114,108,298,201,131,316,147,100,674,563,262,0,387,265,262,151
tasikmalaya,501,297,682,257,256,702,467,358,364,202,649,387,0,193,153,233
tegal,379,202,562,64,223,572,274,165,409,298,473,265,193,0,131,197
cilacap,375,174,560,195,131,598,355,246,517,355,523,262,153,131,0,127
wonosobo,265,64,449,34,54,487,228,119,570,435,434,151,233,197,127,0
